level,wood,clay,stone,crop,crop con.,time,cp,total,res/cp,time/cp,cp_delta,name,level,eff. Res/cp
6,240,135,205,70,2,0 days 01:44:20,6,650,650,0 days 01:44:20,1,Main Building,6,641.25
7,310,175,265,90,2,0 days 02:06:10,7,840,840,0 days 02:06:10,1,Main Building,7,641.25
8,395,225,340,115,2,0 days 02:31:20,9,1075,537.5,0 days 01:15:40,2,Main Building,8,641.25
2,280,205,115,50,2,0 days 00:40:30,6,650,650,0 days 00:40:30,1,Academy,2,650
2,230,165,190,100,2,0 days 00:43:40,6,685,685,0 days 00:43:40,1,Embassy,2,685
2,100,90,155,90,2,0 days 00:39:50,4,435,,,0,Marketplace,2,754.2857143
3,130,115,195,115,2,0 days 00:51:10,5,555,555,0 days 00:51:10,1,Marketplace,3,754.2857143
4,170,145,250,145,2,0 days 01:04:20,6,710,710,0 days 01:04:20,1,Marketplace,4,754.2857143
5,215,190,320,190,2,0 days 01:19:40,7,915,915,0 days 01:19:40,1,Marketplace,5,754.2857143
6,275,240,410,240,3,0 days 01:37:20,9,1165,582.5,0 days 00:48:40,2,Marketplace,6,754.2857143
7,350,310,530,310,3,0 days 01:58:00,11,1500,750,0 days 00:59:00,2,Marketplace,7,754.2857143
1,590,460,350,180,1,0 days 00:33:20,2,1580,790,0 days 00:16:40,2,Residence,1,790
3,360,260,145,65,2,0 days 00:51:40,7,830,830,0 days 00:51:40,1,Academy,3,816.25
4,460,335,190,85,2,0 days 01:04:40,8,1070,1070,0 days 01:04:40,1,Academy,4,816.25
5,590,430,240,105,2,0 days 01:19:40,10,1365,682.5,0 days 00:39:50,2,Academy,5,816.25
4,85,105,65,20,0,0 days 00:37:00,2,275,,,0,Cranny,4,817.5
5,105,135,80,25,0,0 days 00:48:00,2,345,,,0,Cranny,5,817.5
6,135,170,105,35,1,0 days 01:00:40,3,445,445,0 days 01:00:40,1,Cranny,6,817.5
7,175,220,130,45,1,0 days 01:15:20,4,570,570,0 days 01:15:20,1,Cranny,7,817.5
3,295,215,245,130,2,0 days 00:55:40,7,885,885,0 days 00:55:40,1,Embassy,3,868.75
4,375,275,315,170,2,0 days 01:09:30,8,1135,1135,0 days 01:09:30,1,Embassy,4,868.75
5,485,350,405,215,2,0 days 01:25:40,10,1455,727.5,0 days 00:42:50,2,Embassy,5,868.75
6,755,550,310,135,3,0 days 01:37:00,12,1750,875,0 days 00:48:30,2,Academy,6,875
9,505,290,430,145,2,0 days 03:00:30,10,1370,1370,0 days 03:00:30,1,Main Building,9,894.1666667
10,645,370,555,185,2,0 days 03:34:20,12,1755,877.5,0 days 01:47:10,2,Main Building,10,894.1666667
11,825,470,710,235,2,0 days 04:13:40,15,2240,746.6666667,0 days 01:24:33,3,Main Building,11,894.1666667
7,970,705,395,175,3,0 days 01:57:10,14,2245,1122.5,0 days 00:58:35,2,Academy,7,905.2941176
8,1240,900,505,225,3,0 days 02:20:30,17,2870,956.6666667,0 days 00:46:50,3,Academy,8,905.2941176
9,1585,1155,650,290,3,0 days 02:47:40,21,3680,920,0 days 00:41:55,4,Academy,9,905.2941176
10,2030,1475,830,370,3,0 days 03:19:10,25,4705,1176.25,0 days 00:49:47,4,Academy,10,905.2941176
1,460,510,600,320,3,0 days 00:46:30,4,1890,472.5,0 days 00:11:37,4,Workshop,1,905.2941176
1,1250,1110,1260,600,4,0 days 02:29:50,6,4220,703.3333333,0 days 00:24:58,6,Townhall,1,703.3333333
6,620,445,515,275,2,0 days 01:44:20,12,1855,927.5,0 days 00:52:10,2,Embassy,6,927.5
8,450,395,675,395,3,0 days 02:21:50,13,1915,957.5,0 days 01:10:55,2,Marketplace,8,937.5
9,575,505,865,505,3,0 days 02:49:30,15,2450,1225,0 days 01:24:45,2,Marketplace,9,937.5
10,740,645,1105,645,3,0 days 03:21:40,19,3135,783.75,0 days 00:50:25,4,Marketplace,10,937.5
12,1060,605,905,300,2,0 days 04:59:10,18,2870,956.6666667,0 days 01:39:43,3,Main Building,12,956.6666667
7,790,570,660,350,2,0 days 02:06:10,14,2370,1185,0 days 01:03:05,2,Embassy,7,1032.777778
8,1015,730,845,450,2,0 days 02:31:20,17,3040,1013.333333,0 days 00:50:26,3,Embassy,8,1032.777778
9,1295,935,1080,575,2,0 days 03:00:30,21,3885,971.25,0 days 00:45:07,4,Embassy,9,1032.777778
13,1355,775,1160,385,2,0 days 05:52:10,21,3675,1225,0 days 01:57:23,3,Main Building,13,1047.5
14,1735,990,1485,495,2,0 days 06:53:30,26,4705,941,0 days 01:22:42,5,Main Building,14,1047.5
2,115,150,115,35,0,0 days 00:07:20,1,415,,,0,Cropland,2,1110
3,195,250,195,55,0,0 days 00:15:00,2,695,695,0 days 00:15:00,1,Cropland,3,1110
2,65,165,85,100,1,0 days 00:10:20,1,415,,,0,Woodcutter,2,1110
3,110,280,140,165,1,0 days 00:19:50,2,695,695,0 days 00:19:50,1,Woodcutter,3,1110
2,135,65,135,85,1,0 days 00:09:10,1,420,,,0,Clay Pit,2,1120
3,225,110,225,140,1,0 days 00:18:00,2,700,700,0 days 00:18:00,1,Clay Pit,3,1120
11,945,825,1415,825,3,0 days 03:59:00,22,4010,1336.666667,0 days 01:19:40,3,Marketplace,11,1144.375
12,1210,1060,1815,1060,3,0 days 04:42:10,27,5145,1029,0 days 00:56:26,5,Marketplace,12,1144.375
2,90,115,220,90,0,0 days 00:43:40,1,515,,,0,Wall,2,1170
3,115,145,280,115,0,0 days 00:55:40,2,655,655,0 days 00:55:40,1,Wall,3,1170
11,2595,1890,1065,470,3,0 days 03:55:40,30,6020,1204,0 days 00:47:08,5,Academy,11,1204
2,165,135,50,100,2,0 days 00:15:20,1,450,,,0,Iron Mine,2,1205
3,280,225,85,165,2,0 days 00:27:50,2,755,755,0 days 00:27:50,1,Iron Mine,3,1205
15,2220,1270,1900,635,2,0 days 08:04:40,31,6025,1205,0 days 01:36:56,5,Main Building,15,1205
2,230,320,640,205,2,0 days 03:38:20,3,1395,1395,0 days 03:38:20,1,Smithy,2,1206.25
3,295,410,820,260,2,0 days 04:38:20,3,1785,,,0,Smithy,3,1206.25
1,260,140,220,100,5,0 days 00:34:00,2,720,360,0 days 00:17:00,2,Stable,1,1206.25
2,335,180,280,130,3,0 days 00:44:10,3,925,925,0 days 00:44:10,1,Stable,2,1206.25
10,1660,1200,1385,740,2,0 days 03:34:20,25,4985,1246.25,0 days 00:53:35,4,Embassy,10,1246.25
13,1545,1355,2320,1355,3,0 days 05:32:20,32,6575,1315,0 days 01:06:28,5,Marketplace,13,1249.583333
14,1980,1735,2970,1735,3,0 days 06:30:30,39,8420,1202.857143,0 days 00:55:47,7,Marketplace,14,1249.583333
2,140,205,115,90,1,0 days 00:43:40,1,550,,,0,Rally Point,2,1250
3,180,260,145,115,1,0 days 00:55:40,2,700,700,0 days 00:55:40,1,Rally Point,3,1250
11,2125,1535,1770,945,3,0 days 04:13:40,30,6375,1275,0 days 00:50:44,5,Embassy,11,1275
16,2840,1625,2435,810,3,0 days 09:27:10,37,7710,1285,0 days 01:34:31,6,Main Building,16,1285
12,3325,2420,1360,605,3,0 days 04:38:00,36,7710,1285,0 days 00:46:20,6,Academy,12,1285
13,4255,3095,1740,775,3,0 days 05:27:10,43,9865,1409.285714,0 days 00:46:44,7,Academy,13,1291.290323
14,5445,3960,2230,990,3,0 days 06:24:10,51,12625,1578.125,0 days 00:48:01,8,Academy,14,1291.290323
15,6970,5070,2850,1270,3,0 days 07:30:20,62,16160,1469.090909,0 days 00:40:56,11,Academy,15,1291.290323
1,320,280,420,360,4,0 days 00:50:00,5,1380,276,0 days 00:10:00,5,Hospital,1,1291.290323
1,2880,2740,2580,990,4,0 days 01:35:50,7,9190,1312.857143,0 days 00:13:41,7,Treasury,1,1312.857143
12,2720,1965,2265,1210,3,0 days 04:59:10,36,8160,1360,0 days 00:49:51,6,Embassy,12,1360
17,3635,2075,3115,1040,3,0 days 11:02:50,44,9865,1409.285714,0 days 01:34:41,7,Main Building,17,1405.9375
18,4650,2660,3990,1330,3,0 days 12:54:00,53,12630,1403.333333,0 days 01:26:00,9,Main Building,18,1405.9375
8,225,280,170,55,1,0 days 01:32:20,4,730,,,0,Cranny,8,1430
9,290,360,215,70,1,0 days 01:52:10,5,935,935,0 days 01:52:10,1,Cranny,9,1430
10,370,460,275,90,1,0 days 02:15:10,6,1195,1195,0 days 02:15:10,1,Cranny,10,1430
19,5955,3405,5105,1700,3,0 days 15:02:50,64,16165,1469.545455,0 days 01:22:04,11,Main Building,19,1469.545455
13,3480,2515,2900,1545,3,0 days 05:52:10,43,10440,1491.428571,0 days 00:50:18,7,Embassy,13,1491.428571
15,2535,2220,3805,2220,3,0 days 07:38:00,46,10780,1540,0 days 01:05:25,7,Marketplace,15,1508.214286
16,3245,2840,4870,2840,4,0 days 08:56:20,55,13795,1532.777778,0 days 00:59:35,9,Marketplace,16,1508.214286
17,4155,3635,6230,3635,4,0 days 10:27:00,67,17655,1471.25,0 days 00:52:15,12,Marketplace,17,1508.214286
20,7620,4355,6535,2180,3,0 days 17:32:10,77,20690,1591.538462,0 days 01:20:56,13,Main Building,20,1591.538462
14,4455,3220,3715,1980,3,0 days 06:53:30,51,13370,1671.25,0 days 00:51:41,8,Embassy,14,1604.473684
15,5705,4120,4755,2535,3,0 days 08:04:40,62,17115,1555.909091,0 days 00:44:03,11,Embassy,15,1604.473684
16,8925,6490,3650,1625,4,0 days 08:47:00,74,20690,1724.166667,0 days 00:43:55,12,Academy,16,1724.166667
18,5315,4650,7975,4650,4,0 days 12:12:20,80,22590,1737.692308,0 days 00:56:20,13,Marketplace,18,1737.692308
17,11425,8310,4675,2075,4,0 days 10:16:00,89,26485,1765.666667,0 days 00:41:04,15,Academy,17,1765.666667
2,410,360,540,460,2,0 days 01:03:00,6,1770,1770,0 days 01:03:00,1,Hospital,2,1770
19,6805,5955,10210,5955,4,0 days 14:14:30,96,28925,1807.8125,0 days 00:53:24,16,Marketplace,19,1807.8125
16,7300,5275,6085,3245,3,0 days 09:27:10,74,21905,1825.416667,0 days 00:47:15,12,Embassy,16,1825.416667
17,9345,6750,7790,4155,3,0 days 11:02:50,89,28040,1869.333333,0 days 00:44:11,15,Embassy,17,1869.333333
20,8710,7620,13065,7620,4,0 days 16:36:20,115,37015,1948.157895,0 days 00:52:26,19,Marketplace,20,1948.157895
18,14620,10635,5980,2660,4,0 days 11:59:10,106,33895,1993.823529,0 days 00:42:18,17,Academy,18,1981.538462
19,18715,13610,7655,3405,4,0 days 13:59:00,128,43385,1972.045455,0 days 00:38:08,22,Academy,19,1981.538462
2,740,590,450,230,1,0 days 00:43:40,3,2010,2010,0 days 00:43:40,1,Residence,2,2010
18,11965,8640,9970,5315,3,0 days 12:54:00,106,35890,2111.176471,0 days 00:45:31,17,Embassy,18,2098.205128
19,15315,11060,12760,6805,3,0 days 15:02:50,128,45940,2088.181818,0 days 00:41:02,22,Embassy,19,2098.205128
1,650,800,450,200,1,0 days 02:30:00,1,2100,2100,0 days 02:30:00,1,Great Warehuose,1,2100
3,525,460,690,590,2,0 days 01:18:05,7,2265,2265,0 days 01:18:05,1,Hospital,3,2213.75
4,670,585,880,755,2,0 days 01:35:34,8,2890,2890,0 days 01:35:34,1,Hospital,4,2213.75
5,860,750,1125,965,2,0 days 01:55:52,10,3700,1850,0 days 00:57:56,2,Hospital,5,2213.75
20,23955,17420,9800,4355,4,0 days 16:17:50,153,55530,2221.2,0 days 00:39:06,25,Academy,20,2221.2
4,375,525,1050,335,2,0 days 05:47:50,4,2285,2285,0 days 05:47:50,1,Smithy,4,2285
2,705,1025,960,320,1,0 days 01:41:40,7,3010,3010,0 days 01:41:40,1,Palace,2,2286.666667
3,900,1310,1230,410,1,0 days 02:03:00,9,3850,1925,0 days 01:01:30,2,Palace,3,2286.666667
1,700,670,700,240,2,0 days 00:35:39,1,2310,2310,0 days 00:35:39,1,Hero's Mansion,1,2310
3,425,230,360,165,3,0 days 00:55:50,3,1180,,,0,Stable,3,2312.5
4,545,295,460,210,3,0 days 01:09:30,4,1510,1510,0 days 01:09:30,1,Stable,4,2312.5
5,700,375,590,270,3,0 days 01:25:10,5,1935,1935,0 days 01:25:10,1,Stable,5,2312.5
6,895,480,755,345,3,0 days 01:43:30,6,2475,2475,0 days 01:43:30,1,Stable,6,2351.363636
7,1145,615,970,440,3,0 days 02:04:40,7,3170,3170,0 days 02:04:40,1,Stable,7,2351.363636
8,1465,790,1240,565,3,0 days 02:29:20,9,4060,2030,0 days 01:14:40,2,Stable,8,2351.363636
9,1875,1010,1585,720,3,0 days 02:57:50,10,5190,5190,0 days 02:57:50,1,Stable,9,2351.363636
10,2400,1290,2030,920,3,0 days 03:31:00,12,6640,3320,0 days 01:45:30,2,Stable,10,2351.363636
1,1400,1330,1200,400,3,0 days 00:46:30,4,4330,1082.5,0 days 00:11:37,4,Trade Office,1,2351.363636
20,19600,14155,16335,8710,3,0 days 17:32:10,153,58800,2352,0 days 00:42:05,25,Embassy,20,2352
6,1100,960,1445,1235,3,0 days 02:19:24,12,4740,2370,0 days 01:09:42,2,Hospital,6,2370
4,145,190,355,145,0,0 days 01:09:30,2,835,,,0,Wall,4,2525
5,190,240,455,190,0,0 days 01:25:40,2,1075,,,0,Wall,5,2525
6,240,310,585,240,1,0 days 01:44:20,3,1375,1375,0 days 01:44:20,1,Wall,6,2525
7,310,395,750,310,1,0 days 02:06:10,4,1765,1765,0 days 02:06:10,1,Wall,7,2525
7,1405,1230,1845,1585,3,0 days 02:46:42,14,6065,3032.5,0 days 01:23:21,2,Hospital,7,2641.666667
8,1800,1575,2365,2025,3,0 days 03:18:23,17,7765,2588.333333,0 days 01:06:07,3,Hospital,8,2641.666667
9,2305,2020,3025,2595,3,0 days 03:55:07,21,9945,2486.25,0 days 00:58:46,4,Hospital,9,2641.666667
4,230,335,190,145,1,0 days 01:09:30,2,900,,,0,Rally Point,4,2715
5,295,430,240,190,1,0 days 01:25:40,2,1155,,,0,Rally Point,5,2715
6,380,550,310,240,1,0 days 01:44:20,3,1480,1480,0 days 01:44:20,1,Rally Point,6,2715
7,485,705,395,310,1,0 days 02:06:10,4,1895,1895,0 days 02:06:10,1,Rally Point,7,2715
11,3070,1655,2595,1180,4,0 days 04:09:20,15,8500,2833.333333,0 days 01:23:06,3,Stable,11,2833.333333
5,485,670,1340,430,2,0 days 07:08:30,5,2925,2925,0 days 07:08:30,1,Smithy,5,2925
10,2950,2585,3875,3320,3,0 days 04:37:44,25,12730,3182.5,0 days 01:09:26,4,Hospital,10,3182.5
4,1155,1680,1575,575,1,0 days 02:27:40,10,4985,4985,0 days 02:27:40,1,Palace,4,3227.666667
5,1475,2145,2015,671,1,0 days 02:56:10,12,6306,3153,0 days 01:28:05,2,Palace,5,3227.666667
6,1890,2750,2575,860,1,0 days 03:29:20,15,8075,2691.666667,0 days 01:09:46,3,Palace,6,3227.666667
11,3780,3305,4960,4250,3,0 days 05:27:11,30,16295,3259,0 days 01:05:26,5,Hospital,11,3259
7,2420,3520,3300,1100,1,0 days 04:08:00,18,10340,3446.666667,0 days 01:22:40,3,Palace,7,3446.666667
12,4835,4230,6345,5440,3,0 days 06:24:32,36,20850,3475,0 days 01:04:05,6,Hospital,12,3475
12,3930,2115,3325,1510,4,0 days 04:54:00,18,10880,3626.666667,0 days 01:38:00,3,Stable,12,3626.666667
6,620,860,1720,550,3,0 days 08:42:00,6,3750,3750,0 days 08:42:00,1,Smithy,6,3670
7,790,1100,2200,705,3,0 days 10:30:30,7,4795,4795,0 days 10:30:30,1,Smithy,7,3670
8,1015,1405,2815,900,3,0 days 12:36:20,9,6135,3067.5,0 days 06:18:10,2,Smithy,8,3670
8,3095,4505,4220,1405,1,0 days 04:52:40,21,13225,4408.333333,0 days 01:37:33,3,Palace,8,3770
9,3965,5765,5405,1800,1,0 days 05:44:20,26,16935,3387,0 days 01:08:52,5,Palace,9,3770
13,6190,5415,8125,6965,3,0 days 07:31:03,43,26695,3813.571429,0 days 01:04:26,7,Hospital,13,3813.571429
8,395,505,955,395,1,0 days 02:31:20,4,2250,,,0,Wall,8,3905
9,505,650,1225,505,1,0 days 03:00:30,5,2885,2885,0 days 03:00:30,1,Wall,9,3905
10,645,830,1570,645,1,0 days 03:34:20,6,3690,3690,0 days 03:34:20,1,Wall,10,3905
11,825,1065,2005,825,1,0 days 04:13:40,7,4720,4720,0 days 04:13:40,1,Wall,11,3905
12,1060,1360,2570,1060,1,0 days 04:59:10,9,6050,3025,0 days 02:29:35,2,Wall,12,3905
13,1355,1740,3290,1355,1,0 days 05:52:10,11,7740,3870,0 days 02:56:05,2,Wall,13,3905
13,5030,2710,4255,1935,4,0 days 05:45:40,21,13930,4643.333333,0 days 01:55:13,3,Stable,13,3968.75
14,6435,3465,5445,2475,4,0 days 06:45:30,26,17820,3564,0 days 01:21:06,5,Stable,14,3968.75
14,7925,6930,10400,8915,3,0 days 08:48:13,51,34170,4271.25,0 days 01:06:01,8,Hospital,14,4100.263158
15,10140,8875,13310,11410,3,0 days 10:17:44,62,43735,3975.909091,0 days 00:56:09,11,Hospital,15,4100.263158
2,1600,1420,1615,770,2,0 days 02:57:20,7,5405,5405,0 days 02:57:20,1,Townhall,2,4108.333333
3,2050,1820,2065,985,2,0 days 03:29:20,9,6920,3460,0 days 01:44:40,2,Townhall,3,4108.333333
8,615,900,505,395,1,0 days 02:31:20,4,2415,,,0,Rally Point,8,4194.285714
9,790,1155,645,505,1,0 days 03:00:30,5,3095,3095,0 days 03:00:30,1,Rally Point,9,4194.285714
10,1010,1475,830,650,1,0 days 03:34:20,6,3965,3965,0 days 03:34:20,1,Rally Point,10,4194.285714
11,1290,1890,1060,830,2,0 days 04:13:40,7,5070,5070,0 days 04:13:40,1,Rally Point,11,4194.285714
12,1655,2420,1360,1065,2,0 days 04:59:10,9,6500,3250,0 days 02:29:35,2,Rally Point,12,4194.285714
13,2115,3100,1740,1360,2,0 days 05:52:10,11,8315,4157.5,0 days 02:56:05,2,Rally Point,13,4194.285714
2,590,655,770,410,2,0 days 00:58:30,4,2425,,,0,Workshop,2,4195.714286
3,755,835,985,525,2,0 days 01:12:30,5,3100,3100,0 days 01:12:30,1,Workshop,3,4195.714286
4,965,1070,1260,670,2,0 days 01:28:50,6,3965,3965,0 days 01:28:50,1,Workshop,4,4195.714286
5,1235,1370,1610,860,2,0 days 01:47:40,7,5075,5075,0 days 01:47:40,1,Workshop,5,4195.714286
6,1580,1750,2060,1100,2,0 days 02:09:30,9,6490,3245,0 days 01:04:45,2,Workshop,6,4195.714286
7,2025,2245,2640,1405,2,0 days 02:35:00,11,8315,4157.5,0 days 01:17:30,2,Workshop,7,4195.714286
10,5075,7380,6920,2305,1,0 days 06:44:30,31,21680,4336,0 days 01:20:54,5,Palace,10,4336
11,6495,9445,8855,2950,2,0 days 07:54:10,37,27745,4624.166667,0 days 01:19:01,6,Palace,11,4518.571429
12,8310,12090,11335,3780,2,0 days 09:15:10,45,35515,4439.375,0 days 01:09:23,8,Palace,12,4518.571429
15,8240,4435,6970,3170,4,0 days 07:55:10,31,22815,4563,0 days 01:35:02,5,Stable,15,4563
4,440,295,545,250,2,0 days 01:04:40,2,1530,,,0,Barracks,4,4605
5,565,375,700,320,2,0 days 01:19:40,2,1960,,,0,Barracks,5,4605
6,720,480,895,410,3,0 days 01:37:00,3,2505,2505,0 days 01:37:00,1,Barracks,6,4605
7,925,615,1145,530,3,0 days 01:57:10,4,3215,3215,0 days 01:57:10,1,Barracks,7,4605
16,12980,11360,17035,14605,4,0 days 12:01:34,74,55980,4665,0 days 01:00:07,12,Hospital,16,4665
17,16615,14540,21810,18690,4,0 days 14:02:02,89,71655,4777,0 days 00:56:08,15,Hospital,17,4777
16,10545,5680,8925,4055,4,0 days 09:15:40,37,29205,4867.5,0 days 01:32:36,6,Stable,16,4867.5
14,1735,2230,4210,1735,1,0 days 06:53:30,13,9910,4955,0 days 03:26:45,2,Wall,14,4955
3,950,755,575,295,1,0 days 00:55:40,3,2575,,,0,Residence,3,5040
4,1215,965,735,375,1,0 days 01:09:30,4,3290,3290,0 days 01:09:30,1,Residence,4,5040
5,1555,1235,940,485,1,0 days 01:25:40,5,4215,4215,0 days 01:25:40,1,Residence,5,5040
9,1295,1800,3605,1155,3,0 days 15:02:20,10,7855,7855,0 days 15:02:20,1,Smithy,9,5121.666667
10,1660,2305,4610,1475,3,0 days 17:51:50,12,10050,5025,0 days 08:55:55,2,Smithy,10,5121.666667
11,2125,2905,5905,1890,3,0 days 21:08:20,15,12825,4275,0 days 07:02:46,3,Smithy,11,5121.666667
8,2590,2870,3380,1800,2,0 days 03:04:20,13,10640,5320,0 days 01:32:10,2,Workshop,8,5211.875
9,3315,3675,4325,2305,2,0 days 03:38:30,15,13620,6810,0 days 01:49:15,2,Workshop,9,5211.875
10,4245,4705,5535,2950,2,0 days 04:18:10,19,17435,4358.75,0 days 01:04:32,4,Workshop,10,5211.875
6,1995,1580,1205,620,1,0 days 01:44:20,6,5400,5400,0 days 01:44:20,1,Residence,6,5286.25
7,2550,2025,1540,790,1,0 days 02:06:10,7,6905,6905,0 days 02:06:10,1,Residence,7,5286.25
8,3265,2590,1970,1015,1,0 days 02:31:20,9,8840,4420,0 days 01:15:40,2,Residence,8,5286.25
14,2710,3965,2225,1740,2,0 days 06:53:30,13,10640,5320,0 days 03:26:45,2,Rally Point,14,5320
17,13500,7270,11425,5190,4,0 days 10:49:20,44,37385,5340.714286,0 days 01:32:45,7,Stable,17,5327.1875
18,17280,9305,14620,6645,4,0 days 12:37:50,53,47850,5316.666667,0 days 01:24:12,9,Stable,18,5327.1875
19,22120,11910,18715,8505,4,0 days 14:43:50,64,61250,5568.181818,0 days 01:20:20,11,Stable,19,5354.814815
20,28310,15245,23955,10890,4,0 days 17:09:50,77,78400,6030.769231,0 days 01:19:13,13,Stable,20,5354.814815
1,780,420,660,300,5,0 days 00:36:40,2,2160,1080,0 days 00:18:20,2,Great Stable,1,5354.814815
2,1000,540,845,385,3,0 days 00:47:30,3,2770,2770,0 days 00:47:30,1,Great Stable,2,5354.814815
18,21270,18610,27915,23925,4,0 days 16:21:45,106,91720,5395.294118,0 days 00:57:45,17,Hospital,18,5362.051282
19,27225,23820,35730,30625,4,0 days 19:03:50,128,117400,5336.363636,0 days 00:51:59,22,Hospital,19,5362.051282
13,10640,15478,14505,4835,2,0 days 10:49:00,53,45458,5682.25,0 days 01:21:07,8,Palace,13,5430.157895
14,13150,19805,18570,6190,2,0 days 12:37:40,64,57715,5246.818182,0 days 01:08:52,11,Palace,14,5430.157895
15,2220,2850,5390,2220,1,0 days 08:04:40,15,12680,6340,0 days 04:02:20,2,Wall,15,5446.785714
16,2840,3650,6895,2840,2,0 days 09:27:10,18,16225,5408.333333,0 days 03:09:03,3,Wall,16,5446.785714
17,3635,4675,8825,3635,2,0 days 11:02:50,22,20770,5192.5,0 days 02:45:42,4,Wall,17,5446.785714
18,4650,5980,11300,4650,2,0 days 12:54:00,27,26580,5316,0 days 02:34:48,5,Wall,18,5446.785714
12,2720,3780,7555,2420,3,1 days 00:56:10,18,16475,5491.666667,0 days 08:18:43,3,Smithy,12,5491.666667
15,17430,25355,23770,7925,2,0 days 14:44:00,77,74480,5729.230769,0 days 01:08:00,13,Palace,15,5729.230769
4,2620,2330,2640,1260,2,0 days 04:06:20,10,8850,8850,0 days 04:06:20,1,Townhall,4,5779.666667
5,3355,2980,3380,1610,2,0 days 04:49:20,12,11325,5662.5,0 days 02:24:40,2,Townhall,5,5779.666667
6,4295,3815,4330,2063,3,0 days 05:39:20,15,14503,4834.333333,0 days 01:53:06,3,Townhall,6,5779.666667
2,3630,3450,3250,1245,2,0 days 01:54:50,9,11575,5787.5,0 days 00:57:25,2,Treasury,2,5787.5
15,3485,5070,2850,2220,2,0 days 08:04:40,15,13625,6812.5,0 days 04:02:20,2,Rally Point,15,5853.928571
16,4460,6490,3650,2840,2,0 days 09:27:10,18,17440,5813.333333,0 days 03:09:03,3,Rally Point,16,5853.928571
17,5710,8310,4675,3635,2,0 days 11:02:50,22,22330,5582.5,0 days 02:45:42,4,Rally Point,17,5853.928571
18,7270,10645,5970,4675,2,0 days 12:54:00,27,28560,5712,0 days 02:34:48,5,Rally Point,18,5853.928571
1,1750,2250,1530,240,1,0 days 00:58:20,1,5770,5770,0 days 00:58:20,1,Tournament Square,1,5770
4,325,420,325,95,0,0 days 00:27:30,2,1165,,,0,Cropland,4,5892.5
5,545,700,545,155,0,0 days 00:47:10,2,1945,,,0,Cropland,5,5892.5
6,910,1170,910,260,1,0 days 01:18:50,3,3250,3250,0 days 01:18:50,1,Cropland,6,5892.5
7,1520,1950,1520,435,1,0 days 02:03:40,4,5425,5425,0 days 02:03:40,1,Cropland,7,5892.5
4,185,465,235,280,1,0 days 00:35:00,2,1165,,,0,Woodcutter,4,5892.5
5,310,780,390,465,1,0 days 00:59:20,2,1945,,,0,Woodcutter,5,5892.5
6,520,1300,650,780,2,0 days 01:38:10,3,3250,3250,0 days 01:38:10,1,Woodcutter,6,5892.5
7,870,2170,1085,1300,2,0 days 02:40:20,4,5425,5425,0 days 02:40:20,1,Woodcutter,7,5892.5
4,375,185,375,235,1,0 days 00:32:10,2,1170,,,0,Clay Pit,4,5892.5
5,620,310,620,390,1,0 days 00:54:50,2,1940,,,0,Clay Pit,5,5892.5
6,1040,520,1040,650,2,0 days 01:31:10,3,3250,3250,0 days 01:31:10,1,Clay Pit,6,5892.5
